sentence	relation 
The rest of the <e1>paragraph</e1> talks about <e2>attitude</e2> rather than syntax.	14
The halogen combines with the <e1>tungsten</e1> evaporated from the hot <e2>filament</e2> to form a compound that is attracted back to the filament, thus extending the filament's life.	8
Cornelius Gingerich sold a <e1>span</e1> of <e2>mules</e2> to Jake Ayers of Wellman last week.	13
The Nepalese government sets up a <e1>committee</e1> to inquire into the alleged <e2>misuse</e2> of diplomatic passports.	18
A <e1>copy</e1> of the survey was enclosed in the back-up materials <e2>packet</e2>.	4
It damaged some components of espresso machines and the <e1>plastics</e1> inside the <e2>machine</e2> absorbed it and started to pass on odour and taste to the espresso.	18
<e1>Engine</e1> <e2>pistons</e2> transmit the force generated by the combustion gas to the connecting rods.	3
In this beautiful re-imagining, the <e1>story</e1> starts in an <e2>orphanage</e2> and moves to a magical land where the sweets have a sexual subtext.	8
<e1>Convulsions</e1> that occur after DTaP are caused by a <e2>fever</e2>.	1
Pulling out a <e1>bottle</e1> with purple <e2>fluid</e2> in it, he smiled.	5
In the sketch at right, the electromagnet formed by the <e1>coil</e1> of the <e2>rotor</e2> is represented as a permanent magnet, and the same torque (North attracts South) is seen to be that acting to align the central magnet.	2
The <e1>disruption</e1> has been caused by <e2>work</e2> being carried out by track operator Network Rail.	1
The <e1>title</e1> originates from an Ohioan urban <e2>myth</e2>.	8
The <e1>publication</e1> has connection to an international research <e2>project</e2>.	14
A common side effect of strict elimination after extended periods of use is <e1>headaches</e1> from <e2>caffeine withdrawal</e2>, which is also a clear sign of the addiction.	1
Leah Day attached quilt binding to the <e1>back</e1> of a <e2>quilt</e2> using a sewing machine.	2
The <e1>electricity</e1> is produced by 440 nuclear <e2>reactors</e2> in 31 countries.	1
The <e1>sections</e1> of the text that explain the <e2>scientific method</e2> are interesting and could be applied to most areas of life.	14
The <e1>gavel</e1> helps the <e2>judge</e2> establish his or her rule over the court room.	10
The theme of the <e1>speech</e1> was about <e2>dreams</e2> coming true.	14
The <e1>plane</e1> took off westbound from the small airport's southernmost <e2>runway</e2> shortly before 6 p.m.	8
On this oval porthole, a lace <e1>drape</e1> keeps the <e2>bathroom</e2> private while showing off the shapely window and letting in light.	2
The mobile crane can be used for demolition or earthmoving as the <e1>hook</e1> at the end of the <e2>crane</e2> can be changed to a ball or wrecking bucket, dependent on the crane hire job.	2
The real <e1>output</e1> per capita is running into inherent <e2>barriers</e2>.	18
New experiences throw <e1>neurons</e1> into <e2>reverse</e2>.	18
The <e1>bomb</e1> was contained in a large white <e2>truck</e2> and consisted of a fertilizer device wrapped with a detonation cord made from Semtex.	4
The <e1>case studies</e1> detail where <e2>refugees</e2> come from now and in the past.	14
The mentor <e1>session</e1> was the best part of the <e2>conference</e2>.	2
The <e1>scientist</e1> approached the big cat with a <e2>notepad</e2> and a pencil in her hands.	11
The <e1>design</e1> unveiled yesterday by the <e2>architects</e2> is on a more human scale than the American and Spanish projects.	16
We examined mood <e1>alterations</e1> through physical <e2>activity</e2> and other interventions.	1
The <e1>world</e1> is governed by mathematical <e2>laws</e2>.	18
The state <e1>machine</e1> contains six <e2>states</e2>, seven inputs, and five outputs.	3
Towne Bank, which has only one retail location, was one of those opportunistic upstarts, a <e1>bank</e1> built on a <e2>bubble</e2>.	18
The citizens remained in their houses, and only vagabonds, the <e1>scum</e1> of various <e2>nationalities</e2>, and spies were about; women were not to be seen, or only such as belonged to the dregs of society.	18
The remaining <e1>contents</e1> of the package included four ounces of <e2>plastique</e2> filled with tiny metallic slivers.	5
He derives great joy and <e1>happiness</e1> from <e2>cycling</e2>.	1
The original Waldorf <e1>salad</e1>, created at New York's Waldorf Astoria Hotel in the 1890s, contained only <e2>apples</e2>, mayonnaise, and celery.	3
The teacher retirement poem on parchment is a customized <e1>poem</e1> printed on parchment and enclosed in a black <e2>certificate holder</e2>.	4
Recruiting talented computer <e1>scientists</e1> from underrepresented <e2>communities</e2> is important to current and future workforce needs of the Computation Directorate as well as the Laboratory as a whole.	8
The <e1>defendant</e1> was acting from his own <e2>computer</e2> in London.	18
We poured the <e1>milk</e1> into the <e2>pumpkin mixture</e2>.	6
In December, 1216, Pope Honorius III (1216 - 1227), the successor of Innocent III, approved Dominic's plan for an <e1>order</e1> of contemplative <e2>preachers</e2> exercising the priestly ministry and living in mendicant poverty.	13
A sluggish <e1>cat</e1> named Minnie sleeps in a <e2>scuttle</e2> beside the stove.	4
A witness <e1>statement</e1> contains the witness's factual <e2>account</e2> of the circumstances of the dispute.	2
Butlers (sometimes known as a household managers) are respected as the <e1>head</e1> of the household <e2>staff</e2>.	12
The <e1>maker</e1> of <e2>additives</e2> for engine oils and industrial lubricants posted significantly higher profit in its last quarter despite continued volume declines.	17
They were sailing the <e1>ship</e1> away from the <e2>harbour</e2> laughing and cheering.	8
We dissolved the contents of one packet in a <e1>carafe</e1> of <e2>water</e2> and ran the brew cycle.	5
He learned how cartographic evidence refutes the authenticity of the Vinland Map and from where the <e1>map</e1>'s <e2>maker</e2> have drawn inspiration.	16
The <e1>anthrax</e1> was in a <e2>suitcase</e2> that the Egyptian was supposed to deliver to someone in Canada.	4
<e1>Chestnut</e1> <e2>flour</e2> was more common than wheat flour in the Italian Alps a century ago.	9
Ultimately, this began to shake the confidence of people in the <e1>union</e1> of the <e2>provinces</e2>.	13
His painting of 1607 also shows a <e1>farmer</e1> with a <e2>shovel</e2>, accompanied by a woman holding a cross.	11
Uniforms were rare, although one <e1>unit</e1> of royal <e2>crossbowmen</e2> had been issued with standard black cottes, or tunics, earlier in the 14th century.	13
Kevin Kim is surprised by the arrival of an ancient Korean <e1>archer</e1> from the 1st <e2>century</e2>.	8
He had a <e1>suitcase</e1> full of new <e2>clothing</e2> bought from New York and took a flight to India from Heathrow.	5
The Ca content in the <e1>corn</e1> <e2>flour</e2> has also a strong dependence on the pericarp thickness (Gutierrez et al., 2007).	9
The English writer, poet, philologist, and university <e1>professor</e1> was best known as the author of the classic high fantasy <e2>works</e2> The Hobbit, The Lord of the Rings and The Silmarillion.	17
ER physicians trying to save an <e1>eyeball</e1> that has popped out of an accident victim's <e2>head</e2>.	8
The following <e1>advice</e1> is distilled from <e2>builders</e2> and first-hand experience.	8
These latter <e1>reports</e1> were subjected to intensive <e2>examination</e2>.	18
The bottom <e1>tier</e1> was made with two bath <e2>towels</e2>, the third tier with one bath towel, the second tier with two hand towels.	3
Once upon a time, the remit of getting a first <e1>book</e1> published by an unknown <e2>author</e2> was that you had talent for prose and storytelling, along with promise.	16
This <e1>bacteria</e1> causes skin infections, colds, or <e2>diarrhea</e2>.	0
<e1>Democrats</e1> are running into one <e2>problem</e2> after another trying to pass the health care bill in the Senate.	18
"The green <e1>suitcase</e1> was inside a larger tan <e2>suitcase</e2>, which also contained a set of baby rosary beads, a religious picture, a picture of a 5-year-old girl and a card that read ""Birthday Prayer""."	4
The Obama administration supports ending the use of <e1>antibiotics</e1> for <e2>growth</e2> and feed efficiency in food animals.	0
These <e1>resources</e1> discuss the <e2>development</e2> of photography through the 20th century.	14
Regardless I got my life back, <e1>sadness</e1> from <e2>divorce</e2> is GONE I am thrilled I am not bleeding, dont need red shorts to walk my daughter to the park.	1
Like the Bosch, this <e1>dishwasher</e1> has a <e2>filter</e2> that must be manually emptied and does not include a built-in food disposal.	3
Here is one of the <e1>craters</e1> created by the <e2>meteorite</e2> Morasko.	16
The <e1>catastrophe</e1> is narrated through <e2>metaphor</e2>.	18
Similar <e1>provisions</e1> are established in the same <e2>article</e2>.	15
When the <e1>statesman</e1> threw together a <e2>draft</e2> of the constitution in 1776, he probably did not realise he would be working in a couple of the positions specified quite so soon.	17
Getting help has reduced the time to reverse all the <e1>irritation</e1> that had been caused by the <e2>fungus</e2>.	1
She poured <e1>flour</e1> into the <e2>bowl</e2>, and asked me to take out four eggs from the carton and carefully crack them into the bowl.	6
After the cashier put the <e1>cash</e1> in a <e2>bag</e2>, the robber saw a bottle of scotch that he wanted behind the counter on the shelf.	4
Most <e1>musicians</e1> have developed a standard of their own for cleaning their <e2>instruments</e2>.	11
PHY 319 is presently taught in three 50-minute lectures per week in which the <e1>instructor</e1> makes a chalkboard <e2>presentation</e2>.	17
The dulche de leche ice <e1>cream</e1> was the best part of this <e2>dessert</e2>; it was creamy and not too sweet as I usually find this flavor.	2
The NMB maintains a <e1>panel</e1> of neutral <e2>referees</e2> for service on these and certain other boards.	13
They infiltrated here and there, provoking the Russian <e1>military</e1> to liberate region after region with <e2>bombs</e2> and artillery.	11
"This ""Miller's dozen"" as I'm calling our <e1>troubling</e1> of 11 <e2>goldfish</e2> was thought to have dwindled to only 5 or 6 by as soon as the first morning after their purchase."	13
The index finger was placed inside a normal <e1>outfielder</e1>'s <e2>glove</e2>, but it seemed placed at an angle where it has a difficult time assisting in the closing of the glove around the ball.	11
The Norwalk <e1>juicer</e1> grinds and presses any <e2>fruit</e2> or vegetable.	18
We have three of the finest Hanoverian <e1>stallions</e1> in England standing at <e2>stud</e2>.	18
The <e1>bag</e1> was stored in a <e2>sack</e2>.	4
The <e1>memory</e1> is stored in the same <e2>neurons</e2> that responded to the odor.	4
The roaring chainsword bit into the <e1>haft</e1> of the <e2>axe</e2>, just below the massive blade.	2
The <e1>term</e1> originates from an <e2>article</e2> published 14 February, 1807 by journalist William Cobbett in the polemical Weekly Political Register.	8
To test this, we placed a kitchen <e1>match</e1> in the <e2>jar</e2> instead of the candle, lit the match, screwed on the lid and dropped the jar.	6
With its non-slip, ambidextrous grip, the <e1>peeler</e1> glides effortlessly through <e2>foods</e2>.	18
The scientists used nanotubes to send <e1>signals</e1> to the <e2>nerve cells</e2>.	6
"During this procedure, the <e1>surgeon</e1> makes a small <e2>hole</e2> (""fenestration"") in the baffle to help relieve the symptoms of the original heart disease."	17
The <e1>viewer</e1> wields the <e2>remote</e2>.	11
The pure lotus <e1>flower</e1> blooms out of the muddy <e2>pond</e2>.	8
Here I show that Adh-psi is actually a new, functional <e1>gene</e1> recently descended from an Adh <e2>duplication</e2>.	18
The kiosk was placed at a statewide <e1>convention</e1> of science <e2>teachers</e2> and in a high school science classroom.	18
A Tamil <e1>man</e1>, who escaped from an LTTE rebel-held <e2>area</e2> following heavy fighting, looks on as he arrives at a temporary refugee camp in Vavuniya.	8
The <e1>description</e1> reveals that mass psychology <e2>swings</e2> from pessimism to optimism and back in a natural sequence.	14
This <e1>article</e1> is included into Australia's most well respected <e2>newspaper</e2>.	6
The judge directed the <e1>court</e1> to decide the preliminary issue raised by the <e2>petitioner</e2>.	18
A <e1>doctor</e1> uses <e2>X-rays</e2> for radiographic diagnostic purposes.	11
The <e1>receptor</e1> comprises four <e2>subunits</e2>, which are chemically identical but, surprisingly, are folded differently (see picture).	3
A <e1>girl</e1> plays her violin on a pogo <e2>stick</e2>.	18
He inserted a <e1>needle</e1> into the tattoo <e2>machine</e2>.	6
The period of tumor <e1>shrinkage</e1> after radiation <e2>therapy</e2> is often long and varied (mean 29 months).	1
In this comprehensive <e1>guide</e1>, over 850 <e2>roses</e2> are described, illustrated, and arranged by group.	14
A polarized <e1>plug</e1> has two <e2>blades</e2> with one wider than the other.	3
Somali pirates simply shift their area of activity to avoid international <e1>flotilla</e1> of navy <e2>ships</e2> in the area.	13
As <e1>sergeant major</e1> of the <e2>army</e2>, Preston serves as the army chief of the staff's personal adviser on all enlisted-related matters, particularly in areas affecting soldier training and quality of life.	12
One of the Grand Canyon tour guides has a <e1>barren</e1> of <e2>mules</e2> for the tourists to ride down into the Canyon.	13
Construction progress is steady and the <e1>builder</e1> has now established the <e2>location</e2> of offices on the future car park area along Forest Road.	18
In 1880, there was a strong <e1>typhoon</e1> and an earthquake that lead to the <e2>destruction</e2> of the instrument.	0
Background <e1>music</e1> is added into <e2>slideshows</e2>.	6
Three poor seal <e1>pups</e1> rescued from the Yorkshire coast were released back into the <e2>wild</e2> at Seal Sands on Teesside.	6
But Pradyumna did not die, even when he was digested in the <e1>belly</e1> of the <e2>fish</e2>.	2
Google groups were sending <e1>commands</e1> to <e2>malware</e2>.	6
Many adults retain <e1>scars</e1> from <e2>acne breakouts</e2> during their teen years and feel marked for life.	1
It took the great Ronald Reagan years to develop his vast <e1>coterie</e1> of left wing <e2>haters</e2>.	13
This book has transported <e1>readers</e1> into <e2>ancient times</e2>.	6
The <e1>pieces</e1> are falling into <e2>place</e2>.	6
The resulting anti-social <e1>behaviour</e1> from alcohol <e2>consumption</e2> is an on-going matter that the town and the police continue to address, particularly in the summer months.	1
It is a general rule of thumb that the tastier and more expensive a blended whisky is, the more single malt, i.e., <e1>barley</e1> <e2>whisky</e2>, has gone into its making.	9
"Referred to as ""The Other White Meat,"" Pork is a <e1>meat</e1> originating from the <e2>pig</e2> that comes in a variety of cuts, and can be cooked almost any way."	8
"In the same way that diet and <e1>stress</e1> effect facial <e2>acne</e2> they also effect body acne therefore the basic ""clear skin rules"" of cutting out greasy, fatty foods, and sugary foods as well as trying to reduce everyday stress apply to body acne as well."	0
The <e1>ministers</e1> went away from the December <e2>conference</e2>.	8
In exclusive buildings, a private <e1>restaurant</e1> is part of the <e2>package</e2>.	2
This <e1>generation</e1> of unregenerated <e2>vipers</e2> was still perverse, stiff-necked, and hardened in their iniquity.	13
The <e1>cell line</e1> was derived from a macrophage-enriched <e2>cell culture</e2>.	18
He also hinted that the <e1>team</e1> is going away from the running <e2>game</e2> far too soon.	8
The <e1>mason</e1> who did the <e2>stonework</e2> did a wonderful job.	17
The Republican Party of Pennsylvania has a strong <e1>slate</e1> of endorsed judicial <e2>candidates</e2> running for statewide office.	13
Tulip <e1>mania</e1>, in the 1600s, was caused by the massive <e2>influx</e2> of newly discovered Gold into Amsterdam from the new world: in particular the capture of the Spanish Treasury fleet.	1
EU is pouring a <e1>million</e1> into next, next generation <e2>mobile</e2>.	6
In the <e1>bowels</e1> of the <e2>building</e2> he showed me the stage equipment which has been going flat out virtually every day for the last 35 years.	2
The <e1>document</e1> makes reference to three similar <e2>incidents</e2>.	14
Five has launched a <e1>website</e1>, Holy Soap, dedicated to popular television <e2>soap operas</e2> across all channels.	14
On the hour, the <e1>clock</e1> plays a <e2>melody</e2> with motion.	0
In January 2003 a <e1>symposium</e1> was held to discuss the <e2>current state</e2> of progress and future challenges.	14
There are three set changes and two intervals which help the <e1>recovery</e1> from <e2>laughter</e2>, but the entertainment is maintained despite the well expected ending.	18
While most of the experimental literature focuses on individual contributions, many real-world problems involve the <e1>formation</e1> of <e2>coalitions</e2>.	18
Here is a <e1>dole</e1> of female wild <e2>turkeys</e2>.	13
That happens when the <e1>media</e1> makes a <e2>mistake</e2>.	0
The organization delivered <e1>meals</e1> to homebound <e2>seniors</e2>.	6
In her dentist dad's office, with the help of her brother Norman she finds a <e1>bottle</e1> full of pulled <e2>teeth</e2>.	5
The growing use of this technology passed on <e1>infertility</e1> to future <e2>generations</e2>.	6
In law, a <e1>bill</e1> of <e2>particulars</e2> is a list of written statements made by a party to a court proceeding, upon demand of another party, that sets forth details of a claim or defense.	13
That <e1>box</e1> was in a <e2>chest</e2> that had been locked since at least the early 1800s.	4
That <e1>paper</e1> received favorable <e2>review</e2>.	15
The <e1>micro-machine</e1> was composed of a bulk <e2>magnet</e2> and a spiral structure.	3
She mentioned the <e1>scandal</e1> caused by a BBC <e2>documentary</e2> on the treatment of children in a special-needs home and asked how the state had responded to these.	1
<e1>Pomegranate</e1> <e2>juice</e2> has anti-inflammatory effects and high levels of anti-oxidants, which are believed to protect the body from free-radical damage.	9
The simple <e1>rule</e1> produces <e2>sentences</e2> such as ABAB.	17
<e1>Trees</e1> grow <e2>seeds</e2>.	17
Hand creams counteract <e1>dryness</e1> from <e2>exposure</e2> to wind, sun, and detergents.	1
In recent years, the <e1>issue</e1> of experimentation upon nonhuman animals has become the subject of media <e2>attention</e2>.	18
A simple <e1>intervention</e1> in relation to local small-scale gold <e2>production</e2> was undertaken in the late 1980s.	18
I chose the simplest option: I copied and stored the <e1>files</e1> in a specific <e2>folder</e2>, and used them from there.	6
The <e1>author</e1>'s <e2>name</e2> gives her work a brand image that informs consumers' choices of literary and artistic works.	18
The o-dichlorobenzene <e1>extractant</e1> was removed into <e2>chlorobenzene</e2> for the first step of rough separation.	6
Max Weber's 1922 opus, Economy and Society discusses the link between a <e1>pantheon</e1> of <e2>gods</e2> and the development of monotheism.	13
The <e1>handbag</e1> was locked in a glass <e2>display case</e2>.	4
Younger workers demand more perks due to the exit of the much larger Boomer <e1>generation</e1> from the <e2>workforce</e2>.	8
I have put the memory <e1>card</e1> into the <e2>camera</e2>.	6
The <e1>sows</e1> were moved into isolated farrowing <e2>houses</e2> at least 5 days before farrowing.	6
The <e1>poem</e1> is from his posthumous <e2>diaries</e2> and collection, A River Dies of Thirst: The Girl / The Scream.	8
Lina's incredible <e1>story</e1> was documented in contemporaneous <e2>reports</e2> by Edmundo Escomel.	15
Some inactivated influenza vaccine contains thimerosal, a <e1>preservative</e1> that contains <e2>mercury</e2>.	18
Snails and <e1>slugs</e1> cause <e2>holes</e2> in the leaves of young plants and can chew right through the stems of newly planted seedlings.	17
During the great <e1>fire</e1> of the <e2>aftershock</e2> in Tokyo in 1923 many Ginkgo trees survived while other trees died.	1
A drunk <e1>mother</e1> who killed her fiance by running him over with her <e2>car</e2> outside a pub was jailed for three years today.	11
The neonatal heel prick is a common procedure for taking a blood sample from the <e1>heel</e1> of newborn <e2>infants</e2>.	2
As for the damaged Republican brand, one <e1>message</e1> <e2>voters</e2> sent with Mr. McDonnell's election is that they don't want the GOP to repeat its mistakes from the past decade.	16
The <e1>bomb</e1> was delivered to the unsuspected <e2>victims</e2>.	6
The <e1>clarinet</e1> developed from the <e2>recorder family</e2>, and is closely related to the saxophone.	8
After the heimlich maneuver fails, the <e1>teacher</e1> performs a cricothyrotomy with a kitchen <e2>knife</e2> and a drinking straw.	11
A large <e1>diagram</e1> illustrated the <e2>principle</e2> of this apparatus.	14
The <e1>section</e1> concludes by giving a summary of <e2>findings</e2>.	14
<e1>Characters</e1> native to the African continent have been depicted in <e2>comics</e2> since the beginnings of the modern comic strip.	15
An <e1>article</e1> has been prepared on patient self <e2>testing</e2> of oral anticoagulation.	14
The <e1>fortress</e1> had the only <e2>gate</e2> from the southwest.	3
The <e1>bakeries</e1> in the supermarket <e2>area</e2> also reduce the prices on their goods as closing time approaches.	18
The <e1>burglar</e1> forgot to log out before leaving the home with two diamond <e2>rings</e2>.	18
Reducing the <e1>harm</e1> caused by the <e2>War</e2> on Drugs is a big task.	1
I first tried this comforting, <e1>pork</e1> <e2>stew</e2> a year ago and it is unbelievably good.	9
This way the idle speed is set correctly using the Bypass screw without touching the <e1>screw</e1> on the throttle <e2>arm</e2>, which has to be set exactly right.	2
The <e1>painter</e1>'s strange, anguished <e2>figures</e2> have enthralled artists and bewildered viewers for centuries.	17
Tom's prominient selection of various <e1>rye</e1> <e2>spirits</e2> wins him kudos today.	9
The government is committed to bring <e1>art</e1> to the <e2>community</e2>.	6
Brittany Murphy's <e1>bedroom</e1> was filled with prescription <e2>drugs</e2>.	18
The democrats are competing for positions in the <e1>college</e1> of <e2>electors</e2>.	13
Out of the early morning haze, a <e1>convoy</e1> of articulated <e2>lorries</e2> pulls into the Gashouder square.	13
The <e1>beverage</e1> was distilled from the <e2>root</e2> of its eponymous plant.	8
The <e1>sculptor</e1> has carved a <e2>statue</e2> of Brad Pitt and Angelina Jolie, naked and embracing one another and placed it inside an Oklahoma City home.	17
Subsidiary sales companies were also located in Canada, Germany, and Italy, and two <e1>factories</e1> were producing <e2>products</e2> in England.	17
We watched as a barman poured <e1>alcohol</e1> on to the <e2>bar</e2>, poured absinthe into a couple of shot glasses, then lit the lot.	6
His work presented a new, spontaneous, unpolished style, which appealed to a <e1>subculture</e1> of <e2>folksingers</e2>, hipsters, mystics, and writers of 50s Cold War America where conformity and witchhunts sought to impose straitjacket freedom.	13
The <e1>book</e1> includes a 13-page <e2>index</e2>, which is quite extensive for a volume of this length.	3
There is a rise in erratic <e1>behaviour</e1> from substance <e2>abuse</e2> and frustration caused by long waits for hospital treatment.	1
Meyer <e1>lemon</e1> <e2>marmalade</e2> is an amazingly delicious version of fruit recipe.	9
Simon roused himself slowly from a wonderful dream revolving around a whole <e1>pryde</e1> of baby <e2>griffins</e2>, just waiting for him to play with them.	13
The USA government handed over these detained foreign <e1>citizens</e1> to Russian <e2>boarder guards</e2>.	6
On the border issue, the original <e1>draft</e1> had declared some initial <e2>borders</e2>, which are to be confirmed and decided by the UN partition plan.	14
A critical <e1>habitat</e1> for beluga whales in upper Cook Inlet has been created by the federal <e2>government</e2>.	16
Then, we placed a bread <e1>slice</e1> into the heatproof baking <e2>dish</e2>.	6
<e1>Funds</e1> are moving into this new <e2>project</e2>.	6
And on other stormy days the boy learned to whittle out a straight <e1>shaft</e1> for the long <e2>bow</e2>, and tip it with gray goose feathers.	18
The <e1>garbage</e1> was thrown into the waste disposal <e2>bin</e2>.	6
I went with a few friends up to the sky pool bar area, proceeded to order a <e1>round</e1> of cocktail <e2>drinks</e2> and had to wait a considerable amount of time for them.	13
A <e1>mediator</e1> assists the <e2>parties</e2> in finding their own answers for the problems before them by encouraging constructive communications, keeping the parties focused on settlement alternatives, offering information and suggestions as needed, and building the foundation for improved relations between the parties.	18
The <e1>quotation</e1> is from the <e2>preface</e2> to the fourth edition.	8
Gunung Papandayan, has woken up from it's sleep and is now threathening thousands of villagers living around and on the <e1>slopes</e1> of the <e2>vulcano</e2>.	2
Even the <e1>toddlers</e1> make a tasty mint pea <e2>soup</e2> at the kids' cooking school in Bucktown that tax attorney Elena Marre gave up her law practice to open.	17
There he received food, lodging (often sleeping under the <e1>counter</e1> in the <e2>shop</e2> itself), clothes, and instruction in the craft.	2
The sportsman passed on <e1>passion</e1> to the younger <e2>generation</e2>.	6
The Lancet study already demonstrated that, as of July 2006, the <e1>deaths</e1> caused by the U.S. <e2>invasion</e2> of Iraq rivaled the death toll of the 1994 Rwandan genocide.	1
A <e1>dining room</e1> that contains direct <e2>access</e2> from the kitchen is the most practical, unless the room will exist for fluff purposes only.	3
He started with the <e1>dashboard area</e1> of the <e2>car</e2>, as that's where so much dust and dirt shows up.	2
We see that the <e1>universe</e1> starts at an initial <e2>epoch</e2> t0.	18
The <e1>transmitter</e1> sends a radio <e2>signal</e2> to the doorbell radio receiver inside the building.	0
Day two in the Sacred Valley began with a trip to a local Chicha (<e1>corn</e1> <e2>beer</e2>) brewery, but there was more there than just beer.	9
All I had left were two pairs of shorts, one pair of underwear, a pair of slippers, a purse and a <e1>suitcase</e1> with some important <e2>papers</e2> in it.	5
In order to evaluate MonoTouch, I've got an evaluation <e1>copy</e1> with the debugger from the evaluation <e2>page</e2>.	8
Homemade <e1>tomato</e1> <e2>soup</e2> is so much better than the shop bought versions.	9
The first <e1>door</e1> inside the <e2>bathroom</e2> is a linen cupboard.	2
The <e1>factory</e1>'s <e2>waste</e2> had still not been proven as the cause of Minamata disease.	17
The <e1>kit</e1> includes an on-off-on <e2>toggle switch</e2> for the clipper switching and modifications.	3
Baking <e1>soda</e1> safely tackles kitchen <e2>jobs</e2> above and beyond the legendary box at the back of the refrigerator.	18
She clicked on the <e1>book</e1> <e2>title</e2> to see a couple of illustrations from the book.	3
<e1>Wealth</e1> is migrating into <e2>communities</e2> in Verde Valley/Sedona.	6
Air circulates through the <e1>arm</e1> of the <e2>machine</e2>, creating a gentle vacuum that can attract a page and guide it from the right side of the book to the left.	2
At the moment heavy snow <e1>showers</e1> are running into the Northeastern <e2>regions</e2> of England.	6
The swelling continued so it was time to try the <e1>oils</e1> in a <e2>capsule</e2>.	4
Contents of the <e1>scrapbooks</e1> included <e2>pictures</e2> cut from magazines and newspapers, stories, poems and anecdotes as well as photographs.	13
Old Kook's makes super strong <e1>shoe</e1> <e2>laces</e2>, designed especially for skateboarding.	3
The <e1>ear</e1> is made up of three different sections: the <e2>outer ear</e2>, the middle ear, and the inner ear.	3
Be sure to drink plenty of water to prevent running a <e1>fever</e1> from <e2>dehydration</e2>.	1
The aviator's <e1>jungle aid</e1> was contained in a sealed <e2>escape kit</e2> along with maps of the territory and a dictionary of phrases and words in local dialect.	4
Proper washing and skin care can help to remove <e1>bacteria</e1> and oils which cause <e2>acne</e2>.	0
It dated back to the Meiji time that ryes were the raw material of <e1>wheat</e1> <e2>liquor</e2>.	9
The <e1>weapon</e1> was hidden in what appears to be a <e2>mobile phone</e2>.	4
The next shot shows only a <e1>suitcase</e1> with neatly folder <e2>clothes</e2> in it on the bed.	5
"A ""talented student"" who kept a <e1>pistol</e1> locked in a <e2>safe</e2> at his Wolverhampton home has been sent to a young offenders institution."	4
In recent years much <e1>work</e1> has been invested into a new <e2>model</e2> of computers.	6
I always carry a <e1>suitcase</e1> with my <e2>clothes</e2> in it.	5
I talk knowledgeably of cord-feet with lumberjacks, point out a <e1>doylt</e1> of <e2>pigs</e2>, and bandy verse forms with poets.	13
In almost all of the incidents, the <e1>attacker</e1> developed the <e2>idea</e2> to harm the target before the attack.	17
In one <e1>e-mail</e1>, climate scientist Benjamin Santer commented on a <e2>request</e2> for data and correspondence from science blogger Stephen McIntyre.	14
Riviera holiday <e1>club</e1> consists of few <e2>hotels</e2> (look on the left part of the page) which are located on the beach, in a nice and quite park.	13
After the <e1>panel</e1> makes a <e2>recommendation</e2>, OraSure said it likely will formally apply to sell the test over-the-counter.	17
The largest of the bulls, sometimes fourteen feet long, establish themselves on a fixed part of the rock, and each gathers about him his <e1>harem</e1> of cow <e2>seals</e2>.	13
The court found proof that the fatal <e1>fire</e1> was caused by the <e2>dryer</e2>.	1
Another example is the hammered dulcimer, where the <e1>player</e1> holds the <e2>hammers</e2>.	11
A vivid <e1>comment</e1> was made by the German <e2>critic</e2>, Walter Benjamin.	16
The map to the left shows a snapshot of <e1>weather</e1> <e2>conditions</e2> in selected towns across Italy.	18
I nicked a <e1>syringe</e1> from a <e2>nurse</e2> and got somebody to get me a lemon from the kitchen.	8
I notice that some Indian <e1>actors</e1> from Bollywood <e2>movies</e2> sometimes star in Punjabi movies.	8
The model describes the relationship between a government and the <e1>manager</e1> of a <e2>firm</e2> which produces a pure public good, under private or public ownership.	18
Volvo stores the <e1>information</e1> in a secure and protected <e2>environment</e2> for as long as they believe it will help the company understand how to serve its clients better.	18
Also, very rarely, hypnotherapy leads to the development of 'false <e1>memories</e1>' fabricated by the unconscious <e2>mind</e2>; these are called confabulations.	16
The <e1>building</e1> leaked from every conceivable <e2>place</e2>.	18
He sent his love a <e1>letter</e1> with <e2>confetti hearts</e2> inside of the letter so they pour out everywhere when his sweetheart opens it.	4
Weights were added to the other side of the balance until <e1>tissue</e1> release from the <e2>choroidal side</e2> was achieved.	8
The <e1>envelope</e1> contained a <e2>DVD</e2> of her mother.	5
Homeless <e1>teenagers</e1> return home with the help of family <e2>ties</e2>.	18
Hepatitis B is a potentially life-threatening liver <e1>infection</e1> caused by the hepatitis B <e2>virus</e2>.	1
The <e1>discussion</e1> here has made extensive reference to the <e2>contrasts</e2> between systems.	14
Bevan opens a case on the other side of the room and pulls out a <e1>flask</e1> that contains <e2>ale</e2> of the best sort.	5
Finally, the <e1>slider</e1> was inserted up into the <e2>machine</e2> and used to trip the payout switch.	6
Most of these <e1>films</e1> were tackling <e2>world issues</e2> or had a socio-political background.	14
A small <e1>charm</e1> of seven <e2>goldfinches</e2> bounced in front of the bus.	13
The second primer <e1>set</e1> was derived from a specific variant surface glycoprotein(VSG) expression <e2>site</e2> where the SRA gene is expressed(R-ES).	18
A judge has ordered a woman to hand over her daughter's pet sheep to a rescue centre after a legal <e1>wrangle</e1> over <e2>ownership</e2> of the animal.	18
A <e1>lamp</e1> emiting a strong white <e2>light</e2> is placed on an mobile block makes it possible to the scanner to sweep all the document.	0
